GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900024,SAC,POR,-10,0,"OCT 25, 2019",0.0,0.0,95.0,-1.0,47.0,17.0,5.0,5.0,26.0,24.0,0.345,0.0,0.0,100.0,-1.0,48.0,13.0,9.0,4.0,20.0,25.0,0.25,1490.0,1490.0
0021900017,BOS,TOR,6,1,"OCT 25, 2019",0.0,0.0,93.0,-1.0,41.0,18.0,4.0,2.0,10.0,29.0,0.269,1.0,1.0,130.0,1.0,57.0,23.0,7.0,3.0,16.0,24.0,0.35,1490.0,1510.0
0021900025,LAL,UTA,9,1,"OCT 25, 2019",0.0,0.0,102.0,-1.0,41.0,20.0,4.0,7.0,14.0,24.0,0.394,1.0,1.0,100.0,1.0,49.0,15.0,4.0,5.0,11.0,31.0,0.25,1490.0,1510.0
0021900020,MEM,CHI,-8,0,"OCT 25, 2019",0.0,0.0,101.0,-1.0,40.0,22.0,9.0,7.0,24.0,31.0,0.156,0.0,0.0,125.0,-1.0,49.0,25.0,11.0,4.0,10.0,20.0,0.3,1490.0,1490.0
0021900023,DEN,PHX,1,1,"OCT 25, 2019",1.0,1.0,108.0,1.0,45.0,24.0,11.0,4.0,19.0,23.0,0.563,1.0,1.0,124.0,1.0,44.0,31.0,13.0,9.0,14.0,25.0,0.333,1510.0,1510.0
0021900021,NOP,DAL,-7,0,"OCT 25, 2019",0.0,0.0,122.0,-1.0,53.0,30.0,4.0,9.0,19.0,34.0,0.422,1.0,1.0,108.0,1.0,46.0,17.0,6.0,5.0,19.0,22.0,0.306,1490.0,1510.0
0021900018,CHA,MIN,-22,0,"OCT 25, 2019",1.0,1.0,126.0,1.0,41.0,28.0,3.0,4.0,19.0,18.0,0.523,1.0,1.0,127.0,1.0,52.0,23.0,9.0,4.0,13.0,22.0,0.302,1510.0,1510.0
0021900019,BKN,NYK,4,1,"OCT 25, 2019",0.0,0.0,126.0,-1.0,48.0,19.0,8.0,9.0,16.0,30.0,0.441,0.0,0.0,111.0,-1.0,39.0,24.0,16.0,1.0,14.0,32.0,0.333,1490.0,1490.0
0021900022,OKC,WAS,-12,0,"OCT 25, 2019",0.0,0.0,95.0,-1.0,48.0,15.0,5.0,4.0,13.0,23.0,0.37,0.0,0.0,100.0,-1.0,47.0,26.0,6.0,3.0,17.0,32.0,0.268,1490.0,1490.0
0021900030,CLE,IND,11,1,"OCT 26, 2019",0.0,0.0,85.0,-1.0,54.0,20.0,8.0,2.0,16.0,15.0,0.265,0.0,0.0,110.0,-1.0,36.0,26.0,8.0,6.0,15.0,28.0,0.381,1490.0,1490.0
0021900029,NYK,BOS,-23,0,"OCT 26, 2019",0.0,0.0,110.0,-2.0,39.0,20.5,15.0,2.5,20.0,31.5,0.5065000000000001,0.5,0.5,102.5,0.0,48.5,19.5,7.0,5.0,9.5,24.5,0.3055,1480.0,1500.5750112778453
0021900034,UTA,SAC,32,1,"OCT 26, 2019",0.5,0.5,93.0,0.0,44.5,17.0,6.0,3.5,16.5,28.0,0.28500000000000003,0.0,0.0,103.5,-2.0,45.0,17.0,7.5,3.5,21.5,25.0,0.375,1499.4249887221547,1480.0
0021900028,ATL,ORL,4,1,"OCT 26, 2019",1.0,1.0,117.0,1.0,42.0,27.0,9.0,2.0,13.0,15.0,0.355,1.0,1.0,94.0,1.0,46.0,24.0,12.0,4.0,13.0,18.0,0.3,1510.28774368332,1510.0
0021900032,HOU,NOP,3,1,"OCT 26, 2019",0.0,0.0,111.0,-1.0,57.0,25.0,6.0,6.0,14.0,25.0,0.333,0.0,0.0,119.0,-2.0,50.5,30.0,5.0,6.0,16.5,28.0,0.394,1490.0,1480.5750112778453
0021900033,SAS,WAS,2,1,"OCT 26, 2019",1.0,1.0,120.0,1.0,51.0,22.0,6.0,5.0,21.0,18.0,0.333,0.5,0.5,98.5,0.0,47.0,23.5,7.5,4.5,16.0,26.5,0.268,1510.0,1500.0
0021900027,DET,PHI,-6,0,"OCT 26, 2019",0.5,0.5,109.5,0.0,42.0,23.0,5.5,5.5,15.5,20.5,0.364,1.0,1.0,107.0,1.0,62.0,24.0,6.0,7.0,15.0,34.0,0.241,1499.71225631668,1510.0
0021900031,CHI,TOR,-24,0,"OCT 26, 2019",0.5,0.5,117.5,0.0,47.0,21.5,12.5,5.5,11.5,20.5,0.293,0.5,0.5,118.0,0.0,51.5,22.5,4.5,4.5,19.5,26.0,0.425,1500.0,1499.4249887221547
0021900035,PHX,LAC,8,1,"OCT 26, 2019",0.5,0.5,115.5,0.0,49.0,28.0,9.0,5.0,15.5,30.0,0.3095,1.0,1.0,126.5,2.0,42.0,28.5,7.5,5.0,15.5,24.5,0.45899999999999996,1500.0,1519.71225631668
0021900026,MIL,MIA,-5,0,"OCT 26, 2019",1.0,1.0,117.0,1.0,53.0,31.0,7.0,10.0,11.0,27.0,0.348,1.0,1.0,120.0,1.0,51.0,18.0,9.0,8.0,21.0,33.0,0.389,1510.0,1510.0
0021900036,OKC,GSW,28,1,"OCT 27, 2019",0.0,0.0,90.0,-2.0,48.5,14.5,6.0,5.0,15.5,20.5,0.2935,0.0,0.0,122.0,-1.0,42.0,27.0,7.0,0.0,13.0,21.0,0.357,1480.0,1490.28774368332
