GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,PAST_TS,PAST_EFG,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,PAST_TS_OPP,PAST_EFG_OPP,TEAM_ELO,OPP_TEAM_ELO,ELO_WIN_PROB
21900075,SAC,UTA,1,1,"NOV 01, 2019",0.0,0.0,98.6,-5.0,41.6,20.2,7.4,4.6,17.4,21.8,0.3294,0.5067965954691819,0.4732277646789141,0.8,0.8,101.0,3.0,43.4,20.8,7.6,3.6,18.2,24.4,0.3674,0.5807040578335804,0.5396295508091283,1452.506709671893,1528.9062037119866,0.3917908089699148
21900073,CHI,DET,6,1,"NOV 01, 2019",0.2,0.2,105.6,-3.0,41.8,21.0,9.2,4.6,10.6,21.8,0.2918,0.5078521215057579,0.4674179979052922,0.4,0.4,107.8,-1.0,41.8,23.4,5.8,4.4,18.8,20.4,0.4316,0.582679416927542,0.5482677854194882,1469.730137289082,1490.2795194410787,0.4704614980403344
21900077,OKC,NOP,11,1,"NOV 02, 2019",0.2,0.2,102.2,-3.0,50.8,18.0,7.0,4.0,17.0,23.0,0.315,0.5327168222751201,0.4911472403525723,0.2,0.2,121.2,-3.0,44.2,30.6,7.8,5.0,16.0,25.4,0.3843999999999999,0.5790241355909781,0.5538250498787335,1471.1497599518902,1472.7328968224224,0.4977216986691269
21900082,MIL,TOR,10,1,"NOV 02, 2019",0.6,0.6,120.0,1.0,50.6,25.4,7.6,5.8,13.8,22.8,0.3566,0.5856999618876906,0.566347081254254,0.8,0.8,114.6,3.0,49.6,24.2,7.8,5.0,18.2,23.8,0.3888,0.5955466724447727,0.5472026537112171,1510.000027808955,1528.610868375737,0.4732424348347003
21900083,GSW,CHA,-6,0,"NOV 02, 2019",0.2,0.2,113.6,-3.0,44.8,26.0,8.0,2.4,14.8,20.4,0.3318,0.5431954733474882,0.4820243383339884,0.4,0.4,108.0,-1.0,42.4,25.4,5.8,3.8,18.6,21.4,0.4164,0.5747372188411365,0.550888017604885,1471.1514336588275,1490.0318863340617,0.4728555591547929
21900078,DET,BKN,4,1,"NOV 02, 2019",0.333,0.2,105.2,-2.0,42.2,22.4,7.0,4.8,18.4,20.4,0.3814,0.5649836514423786,0.5325664279534248,0.4,0.4,120.6,-1.0,51.2,23.0,7.8,5.6,19.6,23.6,0.4246,0.5768170763475173,0.5473670052744583,1479.6887494018854,1490.0218633892557,0.4851338365489163
21900079,ORL,DEN,-4,0,"NOV 02, 2019",0.4,0.4,94.8,-1.0,46.2,21.2,8.4,5.2,12.4,17.2,0.2935999999999999,0.481527361353632,0.4477962047533513,0.6,0.6,106.0,1.0,45.8,22.4,7.4,5.0,13.4,23.0,0.3426,0.5316153314357376,0.4868036627271978,1490.016482759993,1506.395998301048,0.4764454301999634
21900089,CLE,DAL,-20,0,"NOV 03, 2019",0.4,0.4,103.8,-1.0,47.6,21.4,6.2,4.0,15.6,19.8,0.3378,0.5394328649500998,0.5051328872277148,0.6,0.6,113.8,1.0,48.8,23.8,6.4,4.2,14.2,19.6,0.3312,0.5566735820046351,0.5162121966873662,1489.1535158772522,1509.4492971584268,0.4708252009020702
21900087,NYK,SAC,-21,0,"NOV 03, 2019",0.167,0.2,98.8,-4.0,50.4,18.4,6.8,5.6,18.0,22.8,0.3686,0.5058797655731113,0.4711377470622159,0.167,0.2,100.0,-4.0,39.8,19.8,8.0,4.2,15.4,21.6,0.3156,0.52179089126719,0.4907154494079782,1462.8007943225548,1464.6708934924948,0.4973087369460532
21900085,IND,CHI,13,1,"NOV 03, 2019",0.4,0.4,104.6,-1.0,43.2,23.6,8.6,5.0,12.2,24.2,0.3263999999999999,0.5210399008208411,0.4833013895873005,0.333,0.4,103.0,-2.0,40.4,21.8,8.2,4.0,12.0,21.4,0.3117999999999999,0.5118475181781984,0.4711312135286202,1491.3804631673286,1480.320907328275,0.5159106066861642
21900086,MIA,HOU,29,1,"NOV 03, 2019",0.8,0.8,115.6,3.0,47.2,24.8,9.2,7.0,19.4,25.2,0.3934,0.5840355270520019,0.5458781624680253,0.6,0.6,125.6,1.0,45.2,25.6,8.4,5.0,14.4,23.2,0.305,0.5720180083309351,0.5182837463667871,1529.4396634836396,1507.7590506883478,0.5311604742275915
21900090,LAC,UTA,11,1,"NOV 03, 2019",0.667,0.6,114.6,2.0,41.4,22.2,7.6,4.4,16.0,25.0,0.3621999999999999,0.5988607727000511,0.5590279146326802,0.667,0.6,101.2,2.0,40.8,21.4,9.2,3.6,19.4,21.8,0.396,0.5984810003711758,0.5550328993631617,1519.203913042605,1516.7420198913849,0.5035428897481806
21900088,SAS,LAL,-7,0,"NOV 03, 2019",0.8,0.8,116.2,3.0,51.0,22.8,5.4,5.6,15.6,20.6,0.3424,0.5679936640032065,0.5235484389592949,0.8,0.8,111.2,3.0,45.0,23.6,9.0,7.8,14.0,21.4,0.3214,0.5570342916578463,0.5163837926393363,1527.7371904291613,1529.9680808132991,0.4967895347826796
